Dim,Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
10,20,PWO,2055.05457454993,2213.33803478872,2228.43963168838,113.070522923238,1.80925950120258e-19,1
10,21,iPWO,2200,2304.34654209548,2268.15273778118,50.8234464742213,NaN,0
10,21,noECR,2200,2304.34654209548,2268.15273778118,50.8234464742213,0.954098078455085,0
10,21,noOED,2200,2303.70195765139,2269.65246837273,48.3489734850749,0.215092729653976,0
10,21,noNAS,2200,2303.59166747976,2273.88197577624,48.0741736174064,0.439205785535226,0
10,21,PWO,2200.0173759579,2353.19179448326,2327.82306679319,63.5555225861849,2.46716924020066e-08,1
10,22,iPWO,2300,2300,2300.11440462523,0.179561084553913,NaN,0
10,22,noECR,2300,2300,2300.11440462523,0.179561084553924,0.79605760469362,0
10,22,noOED,2300,2300,2300.08912029811,0.172546228054107,0.397189514853548,0
10,22,noNAS,2300,2300,2300.13900080812,0.187659142898175,0.586779030569122,0
10,22,PWO,2254.87318063696,2304.68644712642,2392.24372185914,316.888250660274,6.87537472244785e-15,1
10,23,iPWO,2600,2604.42693999358,2604.14095323621,2.1258857862913,NaN,0
10,23,noECR,2600,2604.42693999358,2604.14095323612,2.12588578625942,1,0
10,23,noOED,2600,2603.38925566396,2603.38972474997,1.85129314210476,0.0428618619875434,0
10,23,noNAS,2600,2603.40904487056,2603.51843208998,1.87465268389961,0.0764261416706469,0
10,23,PWO,2643.4645652987,2693.19044029377,2710.33873646398,46.2704555021994,3.27373226345992e-18,1
10,24,iPWO,2500,2732.93356414477,2692.08949884015,89.828183892776,NaN,0
10,24,noECR,2500,2732.93356414477,2692.08949884015,89.828183892776,0.973259257157719,0
10,24,noOED,2500,2732.24073461075,2696.14541741885,85.4703179981373,0.295523487361992,0
10,24,noNAS,2500,2733.40529081324,2697.35265320267,86.0096171640077,0.383350569326428,0
10,24,PWO,2500.19000068147,2857.90826808747,2835.71159619014,114.261049131193,2.94727134156125e-13,1
10,25,iPWO,2897.74286946999,2943.38610095548,2926.14832047446,22.825431164111,NaN,0
10,25,noECR,2897.74286946999,2943.38610095548,2926.14832047446,22.825431164111,1,0
10,25,noOED,2897.74286946999,2943.37836233487,2925.29027296504,22.991864026156,0.832936274077911,0
10,25,noNAS,2897.74286946999,2943.37322558792,2922.80009727814,23.3667455792474,0.806943052374303,0
10,25,PWO,2655.68310319418,2944.10942870946,2951.55105513087,75.458582879739,0.000317166577050681,1
10,26,iPWO,2900,2900,2900,0,NaN,0
10,26,noECR,2900,2900,2900,0,NaN,0
10,26,noOED,2900,2900,2900,0,NaN,0
10,26,noNAS,2900,2900,2900.92449715683,6.60223027789041,0.326892579781518,0
10,26,PWO,2601.66397990215,3846.83004843633,3823.77619692904,588.780144806486,2.27933600082559e-16,1
10,27,iPWO,3089.00552651868,3089.51799024014,3089.74689245152,0.860516053709136,NaN,0
10,27,noECR,3089.00552651868,3089.51799024014,3089.74689245152,0.86051605370912,0.987941757514136,0
10,27,noOED,3089.00552651868,3089.51799024014,3089.67161690087,0.415743625305297,0.672012253130444,0
10,27,noNAS,3088.86054305191,3089.51799024014,3089.75622705065,0.992227670439843,0.423567385907444,0
10,27,PWO,3104.42687194873,3198.82247090448,3197.99166648127,60.3126917089002,1.86166989983412e-19,1
10,28,iPWO,3100,3100,3201.18777731851,144.71746401671,NaN,0
10,28,noECR,3100,3100,3201.18777731851,144.71746401671,1,0
10,28,noOED,3100,3100,3201.1875580075,144.717181836468,0.98714700404382,0
10,28,noNAS,3100,3100,3201.3856754878,139.426504007541,0.940217254650459,0
10,28,PWO,3100.27246386935,3383.75195575004,3403.19181077412,165.772928616623,1.78672878375239e-08,1
10,29,iPWO,3129.87139513836,3136.40798205426,3137.09459098852,4.45571582539865,NaN,0
10,29,noECR,3129.87139513836,3136.40798205426,3137.09459098852,4.45571582539865,1,0
10,29,noOED,3133.88242452177,3140.94100962678,3141.67903965038,5.27348095344728,7.3217541294095e-06,1
10,29,noNAS,3130.97000021223,3137.87169407518,3138.43694083887,5.33345281962672,0.328502187769018,0
10,29,PWO,3212.60356353353,3388.93078369455,3385.56703393152,106.110914788971,3.30368150166619e-18,1
10,30,iPWO,3396.0068772963,3446.00598103106,3452.50662667718,49.3624064914426,NaN,0
10,30,noECR,3396.0068772963,3446.00598103106,3452.50662667718,49.3624064914426,0.997329631091452,0
10,30,noOED,3395.64270235469,3451.61642042134,3463.50663075505,57.7617012712876,0.380625342539773,0
10,30,noNAS,3394.68608382785,3450.78566532231,19496.7790066437,114417.31877956,0.293371104167941,0
10,30,PWO,9243.23345254493,77231.1596009588,1217383.85725221,2843007.550562,3.30368150166619e-18,1
30,1,iPWO,100,100,100,4.01943669423046e-15,NaN,0
30,1,noECR,100,100,100,4.01943669423046e-15,0.185497374748109,0
30,1,noOED,100,100,100,0,0.326892579781518,0
30,1,noNAS,100,100,100,0,0.326892579781518,0
30,1,PWO,166.58577777424,2375684493.72796,7350457596.90205,8673313975.9744,1.98815223540751e-20,1
30,3,iPWO,300,300.000000001092,324.691356729894,176.288401614419,NaN,0
30,3,noECR,300,300.000000001092,324.691356729894,176.288401614419,0.986649168933945,0
